id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,margin
556392,Hawthorn Hawks,1994.0,17.0,Richmond Tigers,21,W,34.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45552.0,1994-08-14,36.0,28.0
614897,Geelong Cats,2024.0,1.0,St Kilda Saints,1,W,7.0,5.0,4.0,5.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,44356.0,2024-03-16,23.0,8.0
583553,Essendon Bombers,1999.0,97.0,Adelaide Crows,10,W,6.0,14.0,5.0,5.0,14.0,0.0,0.0,0.0,2.0,4.0,3.0,5.0,1.0,1.0,1.0,0.0,10.0,7.0,1.0,0.0,3.0,0.0,0.0,84.0,45955.0,1999-06-04,67.0,48.0
590676,Western Bulldogs,1994.0,36.0,St Kilda Saints,21,W,35.0,12.0,10.0,8.0,15.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656.0,1994-08-13,81.0,45.0
582473,Richmond Tigers,1997.0,113.0,Melbourne Demons,10,L,41.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45929.0,1997-05-31,32.0,-25.0
540025,St Kilda Saints,2002.0,24.0,Fremantle Dockers,2,L,22.0,9.0,4.0,5.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45344.0,2002-04-07,0.0,-3.0
507101,Fremantle Dockers,2002.0,77.0,St Kilda Saints,2,W,5.0,1.0,4.0,5.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,84.0,45630.0,2002-04-07,3.0,3.0
554875,Brisbane Lions,2002.0,95.0,Adelaide Crows,10,L,15.0,1.0,1.0,1.0,-3.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,84.0,45747.0,2002-06-01,20.0,-7.0
507061,Fremantle Dockers,1997.0,37.0,St Kilda Saints,20,L,38.0,4.0,2.0,8.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45630.0,1997-08-16,36.0,-13.0
501586,Port Adelaide Power,1997.0,69.0,Brisbane Lions,20,D,39.0,12.0,7.0,6.0,13.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45591.0,1997-08-16,68.0,0.0
503617,Brisbane Lions,1999.0,199.0,Fremantle Dockers,20,W,11.0,4.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,84.0,45695.0,1999-08-15,47.0,114.0
534058,West Coast Eagles,1999.0,141.0,Hawthorn Hawks,20,L,6.0,11.0,1.0,7.0,13.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,0.0,10.0,9.0,0.0,0.0,3.0,1.0,0.0,84.0,45331.0,1999-08-14,54.0,-2.0
530197,St Kilda Saints,1995.0,20.0,Fitzroy Lions,21,W,15.0,13.0,6.0,3.0,11.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45942.0,1995-08-26,78.0,27.0
521355,Fremantle Dockers,1999.0,163.0,Sydney Swans,21,L,32.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,84.0,45370.0,1999-08-21,10.0,-33.0
501888,Port Adelaide Power,1997.0,1.0,Collingwood Magpies,1,L,29.0,8.0,4.0,5.0,8.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45643.0,1997-03-29,38.0,-79.0
613403,Port Adelaide Power,2024.0,52.0,Sydney Swans,21,W,42.0,2.0,1.0,5.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,24.0,44577.0,2024-08-03,9.0,112.0
510510,Hawthorn Hawks,2003.0,133.0,Richmond Tigers,22,W,19.0,4.0,3.0,5.0,10.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,47.0,45487.0,2003-08-31,25.0,4.0
540651,Melbourne Demons,1998.0,5.0,Fremantle Dockers,1,L,23.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45721.0,1998-03-29,17.0,-23.0
561912,Sydney Swans,1997.0,12.0,Adelaide Crows,8,L,23.0,1.0,4.0,1.0,-3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45773.0,1997-05-17,2.0,-89.0
509866,Richmond Tigers,1993.0,48.0,Fitzroy Lions,11,W,20.0,2.0,4.0,2.0,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45981.0,1993-06-12,14.0,26.0
590785,Western Bulldogs,2002.0,145.0,Geelong Cats,9,W,35.0,9.0,4.0,5.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656.0,2002-05-25,1.0,12.0
588425,Geelong Cats,1994.0,34.0,Carlton Blues,SF,W,20.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45786.0,1994-09-17,31.0,33.0
590716,Western Bulldogs,1997.0,76.0,Adelaide Crows,PF,L,35.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656.0,1997-09-20,25.0,-2.0
582389,Richmond Tigers,1992.0,29.0,Fitzroy Lions,8,L,41.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45929.0,1992-05-09,24.0,-59.0
590681,Western Bulldogs,1994.0,41.0,Melbourne Demons,SF,L,35.0,2.0,1.0,5.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656.0,1994-09-18,6.0,-79.0
556405,Hawthorn Hawks,1995.0,30.0,Adelaide Crows,9,L,34.0,14.0,7.0,4.0,13.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45552.0,1995-05-27,71.0,-2.0
551525,Hawthorn Hawks,2000.0,8.0,Collingwood Magpies,16,W,13.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,84.0,45799.0,2000-06-23,28.0,57.0
